the_geom,cartodb_id,codigo_accidente,fecha_ocurrencia,hora_ocurrencia,gravedad,objectid,localidad,municipio,x,y,timedate,clase
0101000020E6100000FB54D6B5C48852C07299C383A08A1240,4828,503395,2014-07-09,6:50:00,SOLO DANOS,4243729,KENNEDY,BOGOTA,-74.13700624,4.63537794,2014-07-09 06:50:00+00,CHOQUE
0101000020E610000090E4574B388652C09D950329F0E31240,4829,499789,2014-05-31,19:00:00,CON HERIDOS,4182033,SUBA,BOGOTA,-74.09718593,4.722595826,2014-05-31 19:00:00+00,ATROPELLO
0101000020E61000004224DBAA188652C0A5AC447832D61240,4830,491143,2014-03-04,18:25:00,SOLO DANOS,4038049,ENGATIVA,BOGOTA,-74.09525558,4.709176902,2014-03-04 18:25:00+00,CHOQUE
0101000020E6100000E834AD42BA8652C08CD6B4FFBFAD1240,4831,508661,2014-09-03,18:10:00,CON HERIDOS,4346785,ENGATIVA,BOGOTA,-74.10511844,4.66967773,2014-09-03 18:10:00+00,CHOQUE
0101000020E61000006656080E7C8352C0A4DBF91B40BF1240,4832,492183,2014-03-13,14:20:00,SOLO DANOS,4056849,USAQUEN,BOGOTA,-74.05444671,4.686767995,2014-03-13 14:20:00+00,CHOQUE
0101000020E6100000EED0997CBF8952C061DADC3DE52D1240,4833,494556,2014-04-06,20:30:00,SOLO DANOS,4095553,CIUDAD BOLIVAR,BOGOTA,-74.15231242,4.5448198,2014-04-06 20:30:00+00,CHOQUE
0101000020E61000002CD6543CAC8652C05076478706821240,4834,505579,2014-08-02,16:45:00,SOLO DANOS,4286161,PUENTE ARANDA,BOGOTA,-74.10426243,4.626978029,2014-08-02 16:45:00+00,CHOQUE
0101000020E6100000B1A923E24E8552C09966BF9003841240,4835,496198,2014-04-25,13:20:00,CON HERIDOS,4122081,TEUSAQUILLO,BOGOTA,-74.08293966,4.628919851,2014-04-25 13:20:00+00,CHOQUE
0101000020E61000008D1F077EE48A52C016CE084B49C81240,4836,502056,2014-06-23,6:20:00,CON HERIDOS,4221521,FONTIBON,BOGOTA,-74.17019606,4.695592091,2014-06-23 06:20:00+00,CHOQUE
0101000020E61000008690351B728552C076D1B3003DFA1240,4837,504060,2014-07-17,7:10:00,CON HERIDOS,4254609,SUBA,BOGOTA,-74.0850895,4.744373332,2014-07-17 07:10:00+00,CHOQUE
0101000020E61000004C3DD3979A8452C08D749C61BEE61240,4838,501010,2014-06-12,23:00:00,CON HERIDOS,4202721,SUBA,BOGOTA,-74.07193561,4.725335622,2014-06-12 23:00:00+00,ATROPELLO
0101000020E6100000F7DA7DD83C8552C0D05F97CAA3571240,4839,485647,2014-01-01,19:45:00,SOLO DANOS,3942369,SAN CRISTOBAL,BOGOTA,-74.08183873,4.585585752,2014-01-01 19:45:00+00,CHOQUE
0101000020E61000000CDF79E4BA8752C0480D4AF121E31240,4840,500092,2014-06-03,16:00:00,SOLO DANOS,4187793,ENGATIVA,BOGOTA,-74.12078201,4.721809168,2014-06-03 16:00:00+00,CHOQUE
0101000020E6100000BB4911BBA48B52C02D39DF69E18D1240,4841,487507,2014-01-26,22:50:00,SOLO DANOS,3975025,BOSA,BOGOTA,-74.18192937,4.638555197,2014-01-26 22:50:00+00,CHOQUE
0101000020E61000000309BA58998852C07835D1CB4E731240,4842,508786,2014-09-04,7:05:00,CON HERIDOS,4349377,KENNEDY,BOGOTA,-74.13435953,4.612605271,2014-09-04 07:05:00+00,ATROPELLO
0101000020E6100000BE51814C988752C025AD0A6A7E8C1240,4843,495072,2014-04-10,6:45:00,SOLO DANOS,4103809,KENNEDY,BOGOTA,-74.11867058,4.637200982,2014-04-10 06:45:00+00,CHOQUE
0101000020E6100000AE258411728852C066D1F23EB9941240,4844,510942,2014-09-26,0:40:00,SOLO DANOS,4386897,KENNEDY,BOGOTA,-74.13196218,4.645237907,2014-09-26 00:40:00+00,CHOQUE
0101000020E6100000D65AB122578352C034A37054A6BE1240,4845,507801,2014-08-26,8:50:00,SOLO DANOS,4329873,USAQUEN,BOGOTA,-74.05219333,4.686181373,2014-08-26 08:50:00+00,CHOQUE
0101000020E6100000F65E98266E8852C0D0A1FF2A2FCD1240,4846,508491,2014-08-31,11:45:00,SOLO DANOS,4343857,ENGATIVA,BOGOTA,-74.13172307,4.700375244,2014-08-31 11:45:00+00,CHOQUE
0101000020E610000092279A1E8C8252C068A33363E3FF1240,4847,489808,2014-02-18,11:50:00,CON HERIDOS,4015329,USAQUEN,BOGOTA,-74.03980222,4.749890852,2014-02-18 11:50:00+00,CHOQUE
0101000020E6100000AC85B220AF8652C0FA035F7DAEB11240,4848,511096,2014-09-27,21:30:00,SOLO DANOS,4389361,ENGATIVA,BOGOTA,-74.10443895,4.673517188,2014-09-27 21:30:00+00,CHOQUE
0101000020E61000003ED9AE7F208352C089ADAD938BD11240,4849,501211,2014-06-13,11:00:00,SOLO DANOS,4206369,USAQUEN,BOGOTA,-74.04885857,4.704634006,2014-06-13 11:00:00+00,CHOQUE
0101000020E61000001BAFF264948752C0F3E82FBCDEC21240,4850,507356,2014-08-21,7:10:00,SOLO DANOS,4321409,ENGATIVA,BOGOTA,-74.11843227,4.690302792,2014-08-21 07:10:00+00,CHOQUE
0101000020E6100000E1F886345D8252C0E750E9D453391340,4851,489865,2014-02-19,8:30:00,SOLO DANOS,4016241,USAQUEN,BOGOTA,-74.03693879,4.805983855,2014-02-19 08:30:00+00,CHOQUE
0101000020E61000001FD0AB97458252C0E2E0C306BABD1240,4852,510750,2014-09-23,7:20:00,SOLO DANOS,4383825,USAQUEN,BOGOTA,-74.03549759,4.685279947,2014-09-23 07:20:00+00,CHOQUE
0101000020E6100000F4893790A08452C045245973BF9A1240,4853,494595,2014-04-07,9:00:00,SOLO DANOS,4096177,BARRIOS UNIDOS,BOGOTA,-74.07230001,4.651120951,2014-04-07 09:00:00+00,CHOQUE
0101000020E61000006F648B95B28652C0D670917BBACA1240,4854,486789,2014-01-16,13:40:00,SOLO DANOS,3962833,ENGATIVA,BOGOTA,-74.10464991,4.697977,2014-01-16 13:40:00+00,CHOQUE
0101000020E6100000AC946BF8A08452C095B491D40AAB1240,4855,508319,2014-08-29,21:00:00,SOLO DANOS,4340017,BARRIOS UNIDOS,BOGOTA,-74.07232485,4.667033502,2014-08-29 21:00:00+00,CHOQUE
0101000020E610000000830FEBEE8452C0298473E56AA21240,4856,486510,2014-01-14,15:15:00,SOLO DANOS,3958033,BARRIOS UNIDOS,BOGOTA,-74.07708241,4.658610902,2014-01-14 15:15:00+00,CHOQUE
0101000020E6100000AABBE7FD758552C0EFBB543221AA1240,4857,498901,2014-05-22,6:30:00,CON HERIDOS,4167505,BARRIOS UNIDOS,BOGOTA,-74.08532665,4.66614226,2014-05-22 06:30:00+00,CHOQUE
0101000020E6100000CDEFBAD2208752C04AD7655B7AAA1240,4858,506423,2014-08-11,7:20:00,SOLO DANOS,4301825,ENGATIVA,BOGOTA,-74.11137837,4.66648238,2014-08-11 07:20:00+00,CHOQUE
0101000020E6100000316360D6318B52C0504A2C1C4D971240,4859,509490,2014-09-12,1:00:00,SOLO DANOS,4361457,KENNEDY,BOGOTA,-74.17491683,4.647755089,2014-09-12 01:00:00+00,CHOQUE
0101000020E6100000D54C3B58E68952C053224742745B1240,4860,488192,2014-02-03,19:30:00,CON HERIDOS,3988193,TUNJUELITO,BOGOTA,-74.15468412,4.58931068,2014-02-03 19:30:00+00,ATROPELLO
0101000020E6100000CE6C944BBC8452C081928BFCBDC01240,4861,492888,2014-03-23,6:35:00,CON HERIDOS,4068129,SUBA,BOGOTA,-74.07399263,4.688224741,2014-03-23 06:35:00+00,ATROPELLO
0101000020E61000002A90973D628452C026CE78C5CD811240,4862,507308,2014-08-21,20:45:00,SOLO DANOS,4320401,SANTA FE,BOGOTA,-74.06849613,4.626761518,2014-08-21 20:45:00+00,CHOQUE
0101000020E610000012A34FFA2E8452C064A4BB4425EA1240,4863,511151,2014-09-26,9:15:00,CON HERIDOS,4390241,SUBA,BOGOTA,-74.0653673,4.728657793,2014-09-26 09:15:00+00,CHOQUE
0101000020E6100000881BF7B3668752C047C6B1C88BB11240,4864,491892,2014-03-12,6:05:00,CON HERIDOS,4051601,ENGATIVA,BOGOTA,-74.11564349,4.673384796,2014-03-12 06:05:00+00,ATROPELLO
0101000020E6100000843F12E2C98352C01E475AC744BC1240,4865,500265,2014-06-04,11:55:00,SOLO DANOS,4190641,BARRIOS UNIDOS,BOGOTA,-74.05919697,4.68385612,2014-06-04 11:55:00+00,CHOQUE
0101000020E6100000C2AC997AD28852C01FC438F9D9861240,4866,506397,2014-08-11,6:50:00,SOLO DANOS,4301361,KENNEDY,BOGOTA,-74.13784661,4.631690878,2014-08-11 06:50:00+00,CHOQUE
0101000020E610000089F25674A38952C091B1C15F1F951240,4867,503634,2014-07-13,3:30:00,SOLO DANOS,4247761,KENNEDY,BOGOTA,-74.15060147,4.645627495,2014-07-13 03:30:00+00,CHOQUE
0101000020E610000076A380CE138852C0DB2B72D6471A1240,4868,500861,2014-06-10,14:05:00,SOLO DANOS,4200337,USME,BOGOTA,-74.1262089,4.525664664,2014-06-10 14:05:00+00,CHOQUE
0101000020E61000000745B1E4638552C0B51EA7B09E631240,4869,501732,2014-06-19,22:00:00,SOLO DANOS,4216049,SANTA FE,BOGOTA,-74.08422201,4.597285042,2014-06-19 22:00:00+00,CHOQUE
0101000020E6100000524F1CC9D08652C05478516DD0661240,4870,509767,2014-09-13,13:30:00,SOLO DANOS,4365889,PUENTE ARANDA,BOGOTA,-74.10649326,4.600404461,2014-09-13 13:30:00+00,CHOQUE
0101000020E6100000DA7AF0548C8452C0D16E693F96651240,4871,491421,2014-03-06,10:34:00,SOLO DANOS,4043025,CANDELARIA,BOGOTA,-74.07106517,4.599205962,2014-03-06 10:34:00+00,CHOQUE
0101000020E6100000EBBFB0F7408A52C0E57C1E9411661240,4872,510668,2014-09-22,23:35:00,CON HERIDOS,4382513,BOSA,BOGOTA,-74.1602153,4.599676432,2014-09-22 23:35:00+00,CHOQUE
0101000020E6100000BA2F830B1B8652C0C38366D7BDCB1240,4873,485628,2014-01-01,8:00:00,SOLO DANOS,3942065,ENGATIVA,BOGOTA,-74.09540069,4.698966375,2014-01-01 08:00:00+00,CHOQUE
0101000020E6100000346CC9E7EB8452C069B102E69BB71240,4874,505385,2014-07-31,5:50:00,SOLO DANOS,4283009,BARRIOS UNIDOS,BOGOTA,-74.07689852,4.679305643,2014-07-31 05:50:00+00,CHOQUE
0101000020E6100000E7E646511A8652C0C2B44CDF9B811240,4875,487418,2014-01-24,7:50:00,SOLO DANOS,3973601,PUENTE ARANDA,BOGOTA,-74.09535629,4.626571168,2014-01-24 07:50:00+00,CHOQUE
0101000020E6100000193803D0C68652C09ABDB51124B01240,4876,498052,2014-05-13,20:15:00,CON HERIDOS,4152849,ENGATIVA,BOGOTA,-74.10588456,4.672012593,2014-05-13 20:15:00+00,ATROPELLO
0101000020E610000054F77F10748652C0C73ABFA2076A1240,4877,506079,2014-08-08,22:00:00,SOLO DANOS,4295281,PUENTE ARANDA,BOGOTA,-74.10083401,4.603544753,2014-08-08 22:00:00+00,CHOQUE
0101000020E6100000D356ABCACC8552C067F2DC6164921240,4878,492366,2014-03-13,11:09:00,SOLO DANOS,4059777,TEUSAQUILLO,BOGOTA,-74.09062449,4.642961053,2014-03-13 11:09:00+00,CHOQUE
0101000020E61000008C1D6E36FF8852C0933321A1BEBD1240,4879,508956,2014-09-06,21:15:00,SOLO DANOS,4352209,FONTIBON,BOGOTA,-74.14057694,4.685297506,2014-09-06 21:15:00+00,CHOQUE
0101000020E610000009592FE99C8352C0638F2D2490C11240,4880,507162,2014-08-19,12:10:00,SOLO DANOS,4317217,USAQUEN,BOGOTA,-74.05645208,4.689026418,2014-08-19 12:10:00+00,CHOQUE
0101000020E610000005C702B2B98352C0696450A061BB1240,4881,488127,2014-01-31,16:10:00,SOLO DANOS,3986961,BARRIOS UNIDOS,BOGOTA,-74.05820895,4.682989602,2014-01-31 16:10:00+00,CHOQUE
0101000020E61000004929DE849F8752C00763495B8A8B1240,4882,490209,2014-02-22,18:25:00,SOLO DANOS,4021745,PUENTE ARANDA,BOGOTA,-74.11911127,4.636269976,2014-02-22 18:25:00+00,CHOQUE
0101000020E610000020521803878252C023947081012B1340,4883,495730,2014-04-19,12:15:00,SOLO DANOS,4114593,USAQUEN,BOGOTA,-74.03949048,4.791997931,2014-04-19 12:15:00+00,CHOQUE
0101000020E6100000D27AAEA5368952C0AD76BCE5C4641240,4884,499121,2014-05-22,11:30:00,SOLO DANOS,4171025,KENNEDY,BOGOTA,-74.1439604,4.598407354,2014-05-22 11:30:00+00,CHOQUE
0101000020E6100000BC5215A1188452C0B7DA6F5F9AB91240,4886,499446,2014-05-26,17:00:00,CON HERIDOS,4176497,BARRIOS UNIDOS,BOGOTA,-74.06400325,4.681252948,2014-05-26 17:00:00+00,CHOQUE
0101000020E61000006D121423D18852C0121E495639A11240,4887,491275,2014-03-04,16:00:00,SOLO DANOS,4040545,KENNEDY,BOGOTA,-74.13776471,4.657445286,2014-03-04 16:00:00+00,CHOQUE
0101000020E61000003BC52150FA8B52C0EB00CAD74C751240,4888,496142,2014-04-25,1:59:00,CON HERIDOS,4121185,BOSA,BOGOTA,-74.18715289,4.614550945,2014-04-25 01:59:00+00,CHOQUE
0101000020E6100000CF61FB1FF98552C0FB097B9B7D761240,4889,492200,2014-03-14,15:00:00,SOLO DANOS,4057121,PUENTE ARANDA,BOGOTA,-74.09333038,4.615713529,2014-03-14 15:00:00+00,CHOQUE
0101000020E6100000FBF95135638352C0A093DB7F2FD21240,4890,487211,2014-01-22,9:25:00,CON HERIDOS,3970113,USAQUEN,BOGOTA,-74.05293019,4.705259321,2014-01-22 09:25:00+00,ATROPELLO
0101000020E6100000EE9AA4BA1F8952C0377F3217CF8C1240,4891,505764,2014-08-04,13:20:00,SOLO DANOS,4289505,KENNEDY,BOGOTA,-74.14256159,4.637508738,2014-08-04 13:20:00+00,CHOQUE
0101000020E61000007B32E3936C8152C0CE648BE6F9F61240,4892,508594,2014-09-02,19:14:00,SOLO DANOS,4345505,USAQUEN,BOGOTA,-74.02225206,4.74118767,2014-09-02 19:14:00+00,CHOQUE
0101000020E6100000648DF907918652C07197A9BB45EF1240,4893,511070,2014-09-25,22:30:00,SOLO DANOS,4388945,SUBA,BOGOTA,-74.102602,4.733664448,2014-09-25 22:30:00+00,CHOQUE
0101000020E610000057C163D02D8452C0014C600D2CCE1240,4894,503515,2014-07-10,16:30:00,SOLO DANOS,4245857,SUBA,BOGOTA,-74.06529627,4.701339921,2014-07-10 16:30:00+00,CHOQUE
